,mid_time,max2d_time,time_threshold,slope,peak
35mm dish_ROI19_0,2.0500000000000003,1.4500000000000002,2.15,1.4089165591552502,0.033389572510433986
35mm dish_ROI19_1,2.1,1.7000000000000002,2.0,1.460330504739966,0.03772066201166719
35mm dish_ROI19_2,2.0500000000000003,1.55,1.9500000000000002,1.6115879401677349,0.040982893383956324
35mm dish_ROI19_3,1.85,1.25,2.2,1.3928391242599496,0.024035521976452454
35mm dish_ROI19_4,1.6500000000000001,1.6,,0.7716678333746302,0.02451719994481661
35mm dish_ROI19_5,1.5,1.3,,1.4215098591317505,0.01472404332804407
35mm dish_ROI19_6,1.75,1.3,,1.153243106887168,0.01568132054097183
35mm dish_ROI19_7,1.9500000000000002,1.55,14.450000000000001,2.4521967995712335,0.017849014859500134
35mm_ROI20_0,2.35,2.25,,0.33582809603410296,0.08831878503099208
35mm_ROI20_1,2.5,2.5500000000000003,,0.6165660525233576,0.067944761162777
35mm_ROI20_2,2.5500000000000003,2.4000000000000004,,0.778316647470713,0.06250939481270008
35mm_ROI20_3,2.6,2.25,3.0,0.928520000950516,0.09841071286684969
35mm_ROI20_4,2.75,2.5,2.75,1.3467068168595042,0.06459197240133353
35mm_ROI20_5,2.75,2.3000000000000003,2.45,1.256205890888837,0.11312230472625608
35mm_ROI20_6,2.5500000000000003,2.4000000000000004,,0.778316647470713,0.06250939481270008
35mm_ROI20_7,2.6,2.25,3.0,0.928520000950516,0.09841071286684969
35mm_ROI15_0,2.1,1.85,2.0,1.50079096559372,0.037057441109356486
35mm_ROI15_1,1.9500000000000002,1.3,1.8,1.0757574539871002,0.04321797577946946
35mm_ROI15_2,2.25,1.7000000000000002,1.85,1.3069473211630975,0.0705578646960502
35mm_ROI15_3,2.1,1.4000000000000001,1.85,1.0618805519182912,0.06025130748955293
35mm_ROI15_4,2.0500000000000003,1.8,1.4500000000000002,1.2597749753076855,0.11314690136499464
35mm_ROI15_5,2.0,1.8,1.55,1.2088337682781776,0.10496320862405721
35mm_ROI15_6,2.3000000000000003,2.1,2.15,1.3396821979970857,0.05298000795852087
