,mid_time,max2d_time,time_threshold,slope,peak
ROI14_0,5.4,5.4,5.0,0.861395939528385,0.07855930863478199
ROI14_1,5.25,5.050000000000001,5.0,1.3202480479129384,0.07889316289389578
ROI14_2,5.2,5.1000000000000005,5.0,1.2844964163513142,0.10486246907703352
ROI14_3,5.1000000000000005,5.25,5.0,0.581432092946318,0.05285787661475298
ROI14_4,5.15,5.050000000000001,5.0,1.7693118507118735,0.06965988512918048
ROI14_5,5.050000000000001,5.0,5.0,1.5278306761591722,0.18477343197038792
ROI14_6,5.1000000000000005,5.0,5.0,1.4863417755378703,0.1182620550345411
ROI14_7,5.15,5.0,5.0,1.6714147829035486,0.0692107739977171
ROI14_8,5.1000000000000005,6.300000000000001,5.0,0.75621293507999,0.05222049867897244
ROI14_9,5.15,5.1000000000000005,5.0,1.2336854324138604,0.06815251880938562
ROI14_10,5.1000000000000005,5.0,5.0,1.4631652032369566,0.06888838055105057
ROI14_11,5.1000000000000005,5.0,5.0,1.5703635903849604,0.05293567681775971
ROI14_12,5.1000000000000005,5.0,5.0,1.4760272019404719,0.10433412774319324
ROI24_0,5.15,5.0,5.0,1.6055966870202691,0.054266384423347365
ROI24_1,5.15,5.45,5.0,1.2901574852999924,0.07278994106549215
ROI24_2,5.1000000000000005,5.45,5.0,1.2625090722647796,0.10012044885933977
ROI24_3,5.15,5.0,5.0,1.2742249906913756,0.09360447292412302
ROI24_4,5.1000000000000005,5.0,5.0,1.3095277578589017,0.11532762185026338
ROI24_5,5.25,5.2,5.0,1.6125019220189682,0.07537818005847112
ROI20_0,5.300000000000001,5.050000000000001,5.0,1.2191430952104965,0.3781283959963665
ROI20_1,5.3500000000000005,5.1000000000000005,5.0,1.1871011512575407,0.3149804347790566
ROI20_2,5.25,5.050000000000001,5.0,1.3344857409964712,0.20718602201981112
ROI20_3,5.15,5.050000000000001,5.0,1.455492325714898,0.3406813265537127
ROI20_4,5.300000000000001,5.1000000000000005,5.0,1.213966501383676,1.023170986835852
ROI20_5,5.25,5.1000000000000005,5.0,1.193433643601042,0.5450089821530814
ROI19_0,5.3500000000000005,5.1000000000000005,5.0,1.1458567270676476,1.2421818000067588
ROI19_1,5.300000000000001,5.1000000000000005,5.0,1.2895658814859172,0.3361007400727918
ROI19_2,5.4,5.1000000000000005,5.0,1.1191902012642783,0.5543103354861774
ROI17_repre_0,5.25,5.050000000000001,5.0,1.0526373662589283,0.9473598964769159
ROI17_repre_1,5.5,6.3500000000000005,5.050000000000001,0.6113981978543347,0.506030816308631
ROI17_repre_2,5.050000000000001,5.6000000000000005,5.0,1.5119878661339956,0.8685100314153544
ROI17_repre_3,5.2,5.050000000000001,5.0,1.6214890192455047,0.8222801515783318
ROI17_repre_4,5.25,5.1000000000000005,5.0,1.3567640688861122,1.2032931507162
ROI17_repre_5,5.2,5.050000000000001,5.0,1.3060830705842161,1.2073884352641306
ROI17_repre_6,5.1000000000000005,5.0,5.0,1.4127247065623336,0.930784261040652
ROI17_repre_7,5.2,5.050000000000001,5.0,1.460838757252135,0.7357752694230439
ROI8-3 repre_0,5.1000000000000005,5.0,5.0,1.6633454659082414,0.32344910509025565
ROI8-3 repre_1,5.300000000000001,6.45,5.0,1.072811047187109,0.29178352785045963
ROI8-3 repre_2,5.4,5.1000000000000005,5.0,1.3424191678887012,0.4496212992614075
ROI8-3 repre_3,5.3500000000000005,5.15,5.0,1.2876045087256593,0.24181099321465738
ROI8-3 repre_4,5.300000000000001,5.050000000000001,5.0,1.1058115971404798,0.14807091183599624
ROI8-3 repre_5,5.4,5.1000000000000005,5.0,1.1485701855628154,0.6141747146037511
ROI8-3 repre_6,5.3500000000000005,5.1000000000000005,5.0,1.1550753322229317,0.2443779598024073
ROI8-3 repre_7,5.3500000000000005,5.1000000000000005,5.0,1.0771476005936065,0.17196567602516477
ROI8-3 repre_8,5.300000000000001,5.050000000000001,5.0,1.1110867319305304,0.27613865606152754
ROI8-3 repre_9,5.300000000000001,5.1000000000000005,5.0,1.2171899453384307,0.6341105676987192
ROI8-3 repre_10,5.2,5.050000000000001,5.0,1.3566483302228352,0.6459737907624609
ROI8-3 repre_11,5.4,5.1000000000000005,5.0,1.2710021810477428,0.5711153561717568
ROI9_0,5.25,5.050000000000001,5.0,1.3342565301709546,0.13736904262579158
ROI9_1,5.2,5.050000000000001,5.0,1.2129281305100932,0.1787758116009129
ROI9_2,5.25,5.050000000000001,5.0,1.2150107545442566,0.21092363228068234
ROI9_3,5.300000000000001,5.050000000000001,5.0,1.3836631441213454,0.1303442328428028
ROI9_4,5.300000000000001,5.1000000000000005,5.0,1.1958621612171587,0.8599132713558177
ROI9_5,5.4,5.1000000000000005,5.0,1.111921064364378,0.5760144084468167
ROI8-4 repre_0,5.300000000000001,5.1000000000000005,5.0,1.250205783784709,0.20627937882304453
