,mid_time,max2d_time,time_threshold,slope,peak
35mm dish_ROI19_0,2.25,1.55,14.450000000000001,-0.024583640194430063,0.017849014859500134
35mm dish_ROI19_1,2.25,1.55,14.450000000000001,-0.024583640194430063,0.017849014859500134
35mm dish_ROI19_2,2.25,1.55,14.450000000000001,-0.024583640194430063,0.017849014859500134
35mm dish_ROI19_3,2.25,1.55,14.450000000000001,-0.024583640194430063,0.017849014859500134
35mm dish_ROI19_4,2.25,1.55,14.450000000000001,-0.024583640194430063,0.017849014859500134
35mm dish_ROI19_5,2.25,1.55,14.450000000000001,-0.024583640194430063,0.017849014859500134
35mm dish_ROI19_6,2.25,1.55,14.450000000000001,-0.024583640194430063,0.017849014859500134
35mm dish_ROI19_7,2.25,1.55,14.450000000000001,-0.024583640194430063,0.017849014859500134
35mm_ROI20_0,3.3000000000000003,2.25,3.0,-0.022892192600515573,0.09841071286684969
35mm_ROI20_1,3.3000000000000003,2.25,3.0,-0.022892192600515573,0.09841071286684969
35mm_ROI20_2,3.3000000000000003,2.25,3.0,-0.022892192600515573,0.09841071286684969
35mm_ROI20_3,3.3000000000000003,2.25,3.0,-0.022892192600515573,0.09841071286684969
35mm_ROI20_4,3.3000000000000003,2.25,3.0,-0.022892192600515573,0.09841071286684969
35mm_ROI20_5,3.3000000000000003,2.25,3.0,-0.022892192600515573,0.09841071286684969
35mm_ROI20_6,3.3000000000000003,2.25,3.0,-0.022892192600515573,0.09841071286684969
35mm_ROI20_7,3.3000000000000003,2.25,3.0,-0.022892192600515573,0.09841071286684969
35mm_ROI15_0,2.8000000000000003,1.6500000000000001,1.55,0.0021669195521455153,0.10448188323818583
35mm_ROI15_1,2.8000000000000003,1.6500000000000001,1.55,0.0021669195521455153,0.10448188323818583
35mm_ROI15_2,2.8000000000000003,1.6500000000000001,1.55,0.0021669195521455153,0.10448188323818583
35mm_ROI15_3,2.8000000000000003,1.6500000000000001,1.55,0.0021669195521455153,0.10448188323818583
35mm_ROI15_4,2.8000000000000003,1.6500000000000001,1.55,0.0021669195521455153,0.10448188323818583
35mm_ROI15_5,2.8000000000000003,1.6500000000000001,1.55,0.0021669195521455153,0.10448188323818583
35mm_ROI15_6,2.8000000000000003,1.6500000000000001,1.55,0.0021669195521455153,0.10448188323818583
35mm_ROI15_7,2.8000000000000003,1.6500000000000001,1.55,0.0021669195521455153,0.10448188323818583
35mm_ROI15_8,2.8000000000000003,1.6500000000000001,1.55,0.0021669195521455153,0.10448188323818583
35mm_ROI15_9,2.8000000000000003,1.6500000000000001,1.55,0.0021669195521455153,0.10448188323818583
35mm_ROI17_0,2.5,1.7000000000000002,,-0.006870228031835823,0.03733598303265842
35mm_ROI17_1,2.5,1.7000000000000002,,-0.006870228031835823,0.03733598303265842
35mm_ROI17_2,2.5,1.7000000000000002,,-0.006870228031835823,0.03733598303265842
35mm_ROI17_3,2.5,1.7000000000000002,,-0.006870228031835823,0.03733598303265842
35mm_ROI18_0,3.75,2.85,1.35,0.0065135715068846,0.04544634476486301
35mm_ROI18_1,3.75,2.85,1.35,0.0065135715068846,0.04544634476486301
35mm_ROI18_2,3.75,2.85,1.35,0.0065135715068846,0.04544634476486301
35mm_ROI18_3,3.75,2.85,1.35,0.0065135715068846,0.04544634476486301
